MunicipalityId;Name;Status;District;County;Area;Population;Latitude;Longitude
03911;Csakanydoroszlo;kozseg;Kormendi;Vas;2661;1763;46.9752;16.5046
03939;Cigand;varos;Cigandi;Borsod-Abauj-Zemplen;5676;3008;48.2572;21.8905
03948;Raposka;kozseg;Tapolcai;Veszprem;490;220;46.8484;17.4231
03957;Viszlo;kozseg;Edelenyi;Borsod-Abauj-Zemplen;1110;64;48.4933;20.8877
03966;Ruzsa;kozseg;Morahalmi;Csongrad;8468;2348;46.2892;19.7497
03975;Baksa;kozseg;Sellyei;Baranya;1382;767;45.9595;18.095
03984;Nagybudmer;kozseg;Bolyi;Baranya;1022;148;45.9365;18.4449
03993;Hehalom;kozseg;Pasztoi;Nograd;1867;989;47.7795;19.5858
04002;Zalacsany;kozseg;Keszthelyi;Zala;1607;910;46.8065;17.0979
04020;Himod;kozseg;Kapuvari;Gyor-Moson-Sopron;2270;606;47.5197;17.0077
04039;Csorna;varos;Csornai;Gyor-Moson-Sopron;9195;10105;47.6134;17.2498
04048;Tofu;kozseg;Komloi;Baranya;434;108;46.3096;18.359
04057;Pecel;varos;Godolloi;Pest;4363;16310;47.4911;19.3447
04066;Kungos;kozseg;Balatonalmadi;Veszprem;948;491;47.066;18.1734
04075;Ocsa;varos;Gyali;Pest;8166;9416;47.3012;19.2314
04084;Hevesvezekeny;kozseg;Hevesi;Heves;1978;642;47.5572;20.3578
04093;Helvecia;nagykozseg;Kecskemeti;Bacs-Kiskun;5647;4657;46.8374;19.6213
04109;Dusnok;kozseg;Kalocsai;Bacs-Kiskun;5747;2774;46.39;18.959
04118;Hortobagy;kozseg;Balmazujvarosi;Hajdu-Bihar;28460;1323;47.5826;21.1525
04127;Som;kozseg;Siofoki;Somogy;2335;642;46.8076;18.1397
04136;Tottos;kozseg;Bolyi;Baranya;2299;532;45.9146;18.5414
04145;Hort;nagykozseg;Hatvani;Heves;4309;3564;47.6896;19.7826
04154;Tarnok;nagykozseg;Erdi;Pest;2361;9900;47.3669;18.866
04163;Bodehaza;kozseg;Lenti;Zala;667;34;46.6412;16.4026
04172;Tarnokreti;kozseg;Csornai;Gyor-Moson-Sopron;954;165;47.7218;17.3073
04181;Perocseny;kozseg;Szobi;Pest;4140;295;47.9955;18.8609
04190;Kocsk;kozseg;Celldomolki;Vas;1258;230;47.1908;17.1032
04206;Mezogyan;kozseg;Sarkadi;Bekes;5987;934;46.8697;21.523
04215;Nyomar;kozseg;Edelenyi;Borsod-Abauj-Zemplen;1046;260;48.276;20.8196
04224;Csorotnek;kozseg;Szentgotthardi;Vas;2053;883;46.9517;16.3655
04233;Aszalo;kozseg;Szikszoi;Borsod-Abauj-Zemplen;2536;1831;48.2256;20.9548
04242;Nagykamaras;kozseg;Mezokovacshazai;Bekes;4310;1255;46.4707;21.1193
04251;Ecseg;kozseg;Pasztoi;Nograd;2410;1165;47.8983;19.6026
04260;Mezotur;varos;Mezoturi;Jasz-Nagykun-Szolnok;28972;16011;47.0005;20.63
04279;Kamut;kozseg;Bekesi;Bekes;6048;1025;46.7603;20.9833
04288;Kispirit;kozseg;Devecseri;Veszprem;496;47;47.1972;17.2401
04297;Kacsota;kozseg;Szentlorinci;Baranya;951;252;46.0385;17.9564
04303;Puspokszilagy;kozseg;Vaci;Pest;2530;728;47.7403;19.3155
04312;Tarpa;nagykozseg;Vasarosnamenyi;Szabolcs-Szatmar-Bereg;4973;2590;48.1031;22.5291
04321;Bodorfa;kozseg;Sumegi;Veszprem;222;80;47.076;17.343
04330;Matraszolos;kozseg;Pasztoi;Nograd;2917;1490;47.945;19.7012
04349;Morahalom;varos;Morahalmi;Csongrad;8314;6203;46.2163;19.8895
04358;Nograd;kozseg;Retsagi;Nograd;2954;1524;47.9094;19.0479
04367;Bogyoszlo;kozseg;Csornai;Gyor-Moson-Sopron;2623;616;47.5592;17.1863
04376;Lazi;kozseg;Pannonhalmi;Gyor-Moson-Sopron;1679;546;47.4652;17.8375
04385;Magyartelek;kozseg;Sellyei;Baranya;684;206;45.9455;17.9826
04394;Makad;kozseg;Rackevei;Pest;3177;1225;47.0884;18.9263
04400;Bekolce;kozseg;Belapatfalvai;Heves;1377;570;48.0805;20.2749
04419;Nyesta;kozseg;Szikszoi;Borsod-Abauj-Zemplen;689;28;48.3699;20.9519
04428;Acs;varos;Komaromi;Komarom-Esztergom;10383;6848;47.7104;18.0156
04437;Udvar;kozseg;Mohacsi;Baranya;440;103;45.902;18.6599
04446;Tiszakerecseny;kozseg;Vasarosnamenyi;Szabolcs-Szatmar-Bereg;2387;955;48.2587;22.3001
04455;Nagylengyel;kozseg;Zalaegerszegi;Zala;1024;452;46.7786;16.7634
04464;Szakaly;kozseg;Tamasi;Tolna;4102;1305;46.5244;18.3839
04473;Kanyavar;kozseg;Lenti;Zala;420;113;46.5728;16.6806
04482;Oroszlo;kozseg;Komloi;Baranya;612;274;46.2213;18.1215
04491;Senyo;kozseg;Nyiregyhazi;Szabolcs-Szatmar-Bereg;1830;1362;48.0028;21.8785
04507;Szendehely;kozseg;Retsagi;Nograd;1004;1622;47.8554;19.105
04516;Rozsafa;kozseg;Szigetvari;Baranya;1664;326;46.0222;17.8897
04525;Kecsked;kozseg;Oroszlanyi;Komarom-Esztergom;1108;2004;47.524;18.3076
04534;Mindszentkalla;kozseg;Tapolcai;Veszprem;1084;243;46.8743;17.5528
04543;Feked;kozseg;Mohacsi;Baranya;1933;194;46.161;18.5599
04552;Liter;kozseg;Balatonalmadi;Veszprem;1283;2141;47.0999;18.0076
04561;Abrahamhegy;kozseg;Tapolcai;Veszprem;1488;425;46.8148;17.5715
04570;Marianosztra;kozseg;Szobi;Pest;2027;815;47.8648;18.872
04589;Veszkeny;kozseg;Kapuvari;Gyor-Moson-Sopron;1035;980;47.5999;17.0857
04598;Kereki;kozseg;Siofoki;Somogy;1443;537;46.796;17.9119
04604;Hejokeresztur;kozseg;Tiszaujvarosi;Borsod-Abauj-Zemplen;1028;1037;47.9617;20.8839
04613;Gelenes;kozseg;Vasarosnamenyi;Szabolcs-Szatmar-Bereg;2055;615;48.1991;22.4463
04622;Zsira;kozseg;Soproni;Gyor-Moson-Sopron;1468;842;47.456;16.6808
04631;Tuskevar;kozseg;Devecseri;Veszprem;1701;555;47.1184;17.3129
04640;Kam;kozseg;Vasvari;Vas;1530;427;47.1039;16.8812
04659;Martonvasar;varos;Martonvasari;Fejer;3125;5688;47.3141;18.7886
04668;Mihalyhaza;kozseg;Papai;Veszprem;2152;761;47.3097;17.3381
04677;Emod;varos;Miskolci;Borsod-Abauj-Zemplen;4937;4641;47.9339;20.8165
04686;Dedestapolcsany;kozseg;Kazincbarcikai;Borsod-Abauj-Zemplen;2943;1468;48.1808;20.4842
04695;Vasvar;varos;Vasvari;Vas;5510;4130;47.0491;16.7999
04701;Iregszemcse;kozseg;Tamasi;Tolna;5834;2544;46.693;18.1836
04710;Nagyar;kozseg;Fehergyarmati;Szabolcs-Szatmar-Bereg;1599;657;48.0572;22.5528
04729;Saly;kozseg;Mezokovesdi;Borsod-Abauj-Zemplen;2557;1594;47.9493;20.663
04738;Bak;kozseg;Zalaegerszegi;Zala;2305;1572;46.7306;16.8456
04747;Sarpilis;kozseg;Szekszardi;Tolna;2170;683;46.2478;18.7411
04756;Misefa;kozseg;Zalaegerszegi;Zala;651;267;46.8051;16.9842
04765;Borszorcsok;kozseg;Devecseri;Veszprem;1180;329;47.1343;17.4038
04774;Szakoly;kozseg;Nagykalloi;Szabolcs-Szatmar-Bereg;4144;2573;47.7616;21.9013
04783;Mosonmagyarovar;varos;Mosonmagyarovari;Gyor-Moson-Sopron;8378;33954;47.8732;17.2722
04792;Rabacsanak;kozseg;Csornai;Gyor-Moson-Sopron;1386;499;47.5255;17.2895
04808;Domony;kozseg;Aszodi;Pest;2180;2131;47.6535;19.4384
04817;Zsaka;nagykozseg;Berettyoujfalui;Hajdu-Bihar;7879;1528;47.1343;21.436
04826;Kisgyalan;kozseg;Kaposvari;Somogy;941;203;46.4238;17.9775
04835;Somogyzsitfa;kozseg;Marcali;Somogy;2722;539;46.5531;17.2965
04844;Tereny;kozseg;Balassagyarmati;Nograd;2435;339;47.9455;19.4415
04853;Somogyudvarhely;kozseg;Csurgoi;Somogy;4042;910;46.1773;17.191
04862;Paks;varos;Paksi;Tolna;15408;18623;46.6229;18.8589
04871;Litke;kozseg;Salgotarjani;Nograd;1816;817;48.212;19.5988
04880;Agfalva;kozseg;Soproni;Gyor-Moson-Sopron;1308;2389;47.6905;16.5138
